DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-07-22T00:00:00,2022-07-22T14:00:35.521,75,25,30,23,30,27,40,READY,false
2022-07-23T00:00:00,2022-07-23T13:50:23.985,69,28,30,19,30,22,40,READY,false
2022-07-24T00:00:00,2022-07-24T14:00:32.724,74,28,30,26,30,20,40,READY,false
2022-07-25T00:00:00,2022-07-25T14:15:29.326,65,25,30,20,30,20,40,READY,false
2022-07-26T00:00:00,2022-07-26T14:16:52.362,69,25,30,23,30,21,40,READY,false
2022-07-27T00:00:00,2022-07-27T13:20:28.969,61,25,30,16,30,20,40,READY,false
2022-07-28T00:00:00,2022-07-28T14:00:40.655,62,19,30,16,30,27,40,READY,false
2022-07-29T00:00:00,2022-07-29T12:12:46.045,61,22,30,15,30,24,40,READY,false
2022-07-30T00:00:00,2022-07-30T14:28:19.326,71,28,30,21,30,22,40,READY,false
2022-07-31T00:00:00,2022-07-31T12:54:59.364,67,24,30,21,30,22,40,READY,false
2022-08-01T00:00:00,2022-08-01T13:51:57.809,63,24,30,17,30,22,40,READY,false
2022-08-02T00:00:00,2022-08-02T11:46:51.077,70,25,30,24,30,21,40,READY,false
2022-08-03T00:00:00,2022-08-03T13:25:37.207,67,25,30,21,30,21,40,READY,false
2022-08-04T00:00:00,2022-08-04T16:37:55.353,65,23,30,21,30,21,40,READY,false
2022-08-05T00:00:00,2022-08-05T13:27:32.275,63,25,30,19,30,19,40,READY,false
2022-08-06T00:00:00,2022-08-06T11:30:20.309,62,20,30,23,30,19,40,READY,false
2022-08-07T00:00:00,2022-08-07T13:21:51.858,73,28,30,20,30,25,40,READY,false
2022-08-08T00:00:00,2022-08-08T20:58:52.948,67,24,30,23,30,20,40,READY,false
2022-08-09T00:00:00,2022-08-09T14:05:19.957,64,22,30,21,30,21,40,READY,false
2022-08-10T00:00:00,2022-08-10T14:04:49.407,69,23,30,26,30,20,40,READY,false
2022-08-11T00:00:00,2022-08-11T12:55:41.971,70,25,30,23,30,22,40,READY,false
2022-08-12T00:00:00,2022-08-12T13:14:04.308,76,28,30,15,30,33,40,READY,false
2022-08-13T00:00:00,2022-08-13T14:35:42.639,74,21,30,24,30,29,40,READY,false
2022-08-14T00:00:00,2022-08-14T13:03:06.503,74,25,30,20,30,29,40,READY,false
2022-08-15T00:00:00,2022-08-15T13:09:21.44,79,28,30,23,30,28,40,READY,false
2022-08-16T00:00:00,2022-08-16T12:16:03.367,80,27,30,15,30,38,40,READY,false
2022-08-17T00:00:00,2022-08-17T12:16:44.977,82,24,30,23,30,35,40,READY,false
2022-08-18T00:00:00,2022-08-18T12:10:50.776,77,23,30,16,30,38,40,READY,false
2022-08-19T00:00:00,2022-08-19T14:25:29.999,76,19,30,24,30,33,40,READY,false
2022-08-20T00:00:00,2022-08-20T13:36:03.329,78,24,30,20,30,34,40,READY,false
2022-08-21T00:00:00,2022-08-21T14:03:18.936,83,28,30,25,30,30,40,READY,false
2022-08-22T00:00:00,2022-08-22T15:39:47.111,81,24,30,27,30,30,40,READY,false
